"Date","Video Views","Profile Views","Likes","Comments","Shares"
"June 9","4982","28","311","3","28"
"June 10","4319","37","218","2","32"
"June 11","3781","28","168","4","13"
"June 12","11547","48","1016","7","62"
"June 13","45866","279","5745","24","361"
"June 14","25871","177","3324","13","233"
"June 15","49629","282","5735","28","798"
"June 16","67551","466","7850","70","930"
"June 17","37682","280","3875","44","394"
"June 18","39236","1070","4132","36","527"
"June 19","23200","895","1956","29","281"
"June 20","13512","383","1092","8","86"
"June 21","7628","94","463","2","47"
"June 22","6178","56","332","1","59"
"June 23","13902","129","1216","6","91"
"June 24","10303","95","790","7","40"
"June 25","12711","196","889","13","72"
"June 26","18923","286","1721","12","109"
"June 27","12469","130","1195","4","76"
"June 28","10709","112","921","3","49"
"June 29","15679","143","1113","14","79"
"June 30","8018","55","612","7","43"
"July 1","5634","47","416","-1","37"
"July 2","8580","83","743","8","71"
"July 3","66475","563","6187","61","339"
"July 4","27809","243","2363","19","158"
"July 5","22735","222","1643","17","92"
"July 6","8034","67","490","3","38"
"July 7","7604","52","478","5","31"
"July 8","7317","59","456","1","34"
"July 9","6884","55","446","4","32"
"July 10","5738","48","360","-6","27"
"July 11","6729","56","411","1","36"
"July 12","6829","55","481","3","31"
"July 13","6906","46","557","4","38"
"July 14","6912","62","658","1","42"
"July 15","5218","51","375","3","15"
"July 16","37905","464","5336","24","556"
"July 17","157335","3164","21069","81","1747"
"July 18","47631","962","5258","77","363"
"July 19","19514","279","1861","28","89"
"July 20","13467","157","1040","17","57"
"July 21","60395","482","5757","55","367"
"July 22","49128","389","4764","36","270"
"July 23","37266","261","3599","29","228"
"July 24","53798","324","4874","63","328"
"July 25","61870","563","7050","43","523"
"July 26","21169","200","1927","15","143"
"July 27","14175","114","944","7","69"
"July 28","14531","110","1085","14","69"
"July 29","12222","76","1005","14","76"
"July 30","16291","115","1425","35","90"
"July 31","11388","65","995","16","61"
"August 1","10835","60","909","17","54"
"August 2","9202","66","788","10","31"
"August 3","9340","75","816","18","48"
"August 4","8527","72","718","13","53"
"August 5","10221","84","833","26","51"
"August 6","11372","82","998","11","54"
"August 7","19535","202","1661","19","80"
"August 8","68072","613","5506","83","306"
"August 9","24039","236","1945","20","80"
"August 10","11419","88","846","7","28"
